ISO3,Production,Imports_Original,Imports_Shocked,Population,Availability_Baseline,Availability_After_Shock,Percent_Drop,Severity
NA,346130626.05,0,0,566128954,611.3989111569093,611.3989111569093,0,Low
NA,346130626.05,0,0,72230332,4792.039804690362,4792.039804690362,0,Low
NA,346130626.05,0,0,1039281637,333.0479570957723,333.0479570957723,0,Low
NA,346130626.05,0,0,1780529299,194.39760201890394,194.39760201890394,0,Low
AUS,430000,1236719594.4400823,999536179.4350084,26200984,47217.67680328656,38165.21468945626,-0.1917176516655772,High
AUS,691444.48,1236719594.4400823,999536179.4350084,26200984,47227.65522547101,38175.19311164071,-0.1916771448976805,High
AUS,36237477.23,1236719594.4400823,999536179.4350084,26200984,48584.32308000655,39531.860966176246,-0.18632475539327992,High
NA,618249,0,0,5343,115711.95957327345,115711.95957327345,0,Low
NA,618249,0,0,12077154,51.191613520867584,51.191613520867584,0,Low
NA,618249,0,0,7465915,82.80954176413742,82.80954176413742,0,Low
NA,618249,0,0,704356,877.750739682774,877.750739682774,0,Low
NA,618249,0,0,1425179569,0.4338042822448011,0.4338042822448011,0,Low
NA,618249,0,0,23420111,26.39820964127796,26.39820964127796,0,Low
NA,618249,0,0,30395002,20.340482293766588,20.340482293766588,0,Low
NA,618249,0,0,185345,3335.665920310772,3335.665920310772,0,Low
NA,618249,0,0,102396968,6.0377666651223505,6.0377666651223505,0,Low
NA,618249,0,0,89524246,6.9059392022134425,6.9059392022134425,0,Low
NA,618249,0,0,112114,5514.467417093316,5514.467417093316,0,Low
NA,618249,0,0,17904421,34.53052181916411,34.53052181916411,0,Low
NA,618249,0,0,871540,709.3753585607086,709.3753585607086,0,Low
NA,618249,0,0,10920,56616.20879120879,56616.20879120879,0,Low
NA,618249,0,0,87058473,7.101537377068398,7.101537377068398,0,Low
NA,618249,0,0,86507,7146.80892875721,7146.80892875721,0,Low
NA,618249,0,0,28213017,21.913608175970687,21.913608175970687,0,Low
NA,618249,0,0,11478,53863.82645060115,53863.82645060115,0,Low
NA,618249,0,0,8021406686,0.07707488526657655,0.07707488526657655,0,Low
NA,618249,0,0,475299909,1.300755561474345,1.300755561474345,0,Low
NA,618249,0,0,199713824,3.0956745387840554,3.0956745387840554,0,Low
NA,618249,0,0,264719925,2.3354834359370567,2.3354834359370567,0,Low
NA,618249,0,0,71212991,8.681688429573194,8.681688429573194,0,Low
